[dash-shell] not claiming dash:// from capture-cockpit.mjs — only the app's own entry point may be the handler
[dash-shell] DASH_DATA_DIR override in effect: C:\Users\henri\AppData\Local\Temp\gD-2026-08-25\mar680-681-agentpage-b\store
[dash-shell] store: C:\Users\henri\AppData\Local\Temp\gD-2026-08-25\mar680-681-agentpage-b\store (app_name=Electron)
[dash-shell] secure store: Windows Credential Manager (DPAPI) os_backed=true
[dash-shell] contracts: C:\Users\henri\AppData\Local\Temp\wt-provingD-k2\contracts (unpackaged)
[dash-shell] runner: pipe \\.\pipe\orchestratedash-runner-1106a21c341fce2aa6c94463 pid=42096
[dash-shell] vault self-check: canary=ok, 0/0 fleet reads ok — vault=C:\Users\henri\AppData\Local\Temp\gD-2026-08-25\mar680-681-agentpage-b\ud\vault store=C:\Users\henri\AppData\Local\Temp\gD-2026-08-25\mar680-681-agentpage-b\store
[dash-shell] allowed command=runner.status id=17a7a3ed-667e-436d-864e-8820e698dcba mutates=false
[dash-shell] allowed command=glance.looked id=983e9208-4efa-46eb-803b-3c12bb9d9353 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=cc47ea9f-0997-4a94-9927-b957b1987ab3 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=175e3c98-6c6d-446e-8b95-e28eb1fecbda keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=171fd4b9-7f72-465e-bd79-bb652f61409d keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=e08d507d-0c6a-4ef0-a586-e160d19bea00 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=4a2c13af-727e-418d-8aab-a2be9f7c8ee3 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=24ff9fbf-3969-4e71-8293-d3502af22d04 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=2bdd95af-6651-44c6-9fd3-573237b63366 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=9fe2943f-f4f0-4aa2-bfc4-528783c21d18 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=564f6c85-0f99-4f69-904e-1695efdc84c7 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=cc19e7a8-b157-4971-8cfd-71377c1484f6 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=4f6ccee1-0bc5-4a1a-b355-0b45598ea618 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=2cb8e7a4-ee86-4201-81c7-d888656d2cea keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=d2b9d1e6-d942-4966-bcac-e51872a501cb keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=4886393e-d0fc-41e3-8273-9de1ae5136e3 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=f5ee9e15-0cda-4a66-a104-0b23d2f6fe72 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=edf5fb2a-6d85-4ee3-8efd-54bae0daf233 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=73f5f92c-6e90-489b-b13d-030bef5ae4bf keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=a48e0fdb-8262-49e9-a591-f78fff528d80 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=362068f7-3953-4369-8409-0b2a05f6c666 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=9a35d086-687e-4e06-bbcb-54e2109328ee keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=a32a8326-1780-4846-aeec-c99b2baf1269 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=7c57620e-3755-4511-b5d4-46a63274b270 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=0bc2e8e8-87fc-4072-b17e-aaa2e2301a68 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=fd9ea25e-d2c3-422d-a881-7990876b687c keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=b23157af-f0bd-4721-bb5f-7623976f2b51 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=34031695-fdab-4268-934e-547c304df9d0 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=a72e7141-0e69-4dfd-b604-47eb66a15aaf keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=d2186501-05bb-480b-9e15-22234de03e3d keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=53225c94-5c07-4703-b706-9c4a317dcc1b keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=e0366f69-1ab4-4010-9795-a17417835af8 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=b5846c72-d3d1-44c6-9a6b-5e21df94a3a2 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=4e92e03f-856c-456c-82e1-7a505de691e6 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=a6de157e-973e-4474-9b53-07014382efe2 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=5ad3fd1d-4541-4f68-919f-ebf26540f8eb keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=143b2de6-d847-48c8-b20a-2e5897e69ac8 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=42c8fc2d-0a96-4cb4-a8c4-6e8264cb730e keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=dd803ac2-05fc-4484-9de6-fa3e19f612ac keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=36447e27-f49f-4670-bb91-4f70d5a58260 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=cbfe992d-90a8-43dc-b209-a993cc1f647d keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=29d0c017-f4b5-4a08-aedd-9ab2fde61bfc keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=0b88a489-d6a0-46d2-9efc-66cfa10cdcc4 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=afee1ef4-91b1-48bc-9e72-013ab97aca9f keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=a1595b67-79fc-4d94-8efc-29475c967225 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=0f185723-4f3f-49d5-9b88-d6dcc5a151ec keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=01cf2b09-dcb8-48f6-87b8-12ce62ec5774 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=ceb634c4-ccb0-418e-b047-f9a6793681c8 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=3dc9ad57-0f73-4da3-8947-8ca0b0b31733 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=2614c73e-5524-484a-bff2-a7f7c2b921d2 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=0d16237b-dbc0-4d24-9377-711ae263c7ee keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=68e0927d-2a5c-4955-8bd3-7ccc71bcbf0b keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=4149f54a-b968-4cf7-9e90-a97c0b1fa629 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=7a878056-332e-4150-9836-10cdc13d7eca keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=6358a883-6427-493a-abce-0afe1934184c keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=59858449-ee8e-45de-b04c-c0ba17384f6a keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=d5ec72ac-f418-434b-a04a-09eb5bb0c71f keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=2d63e6e7-41ec-4593-b846-2468d6dbf742 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=997dc51d-61ed-4ecd-b3fb-b204bb311bfa keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=245e86e1-6f35-415e-8618-e66f566dd3c8 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=5967fd2f-9a61-4401-878f-779bb65fc5bd keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=66753adb-7471-462e-8197-d7f49fe30072 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=10912e82-f305-4aed-856c-56db6d0c3676 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=6f8fdb1a-e7e2-4785-9b1d-ddc82fdc6cd7 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=971aebe2-8598-48d4-971d-1fa7ef8ceaef keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=78bdf503-61e8-4580-b220-44301d894ff4 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=4ac4c4fb-d3e1-4063-ae48-ec30e5aee62e keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=3b3e8a69-1337-4a92-8ff1-1a9378d1de20 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=d49ff3be-9e4e-4957-8027-502aec9d6c93 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=b2efcdf7-0f46-43ab-a068-fab7cb232409 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=d8cbfa8c-7be3-4ce2-a04e-1c7686c5b56b keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=f07c7b9d-5a3c-4e02-8b33-33d3118c2819 keys=[agent_id] mutates=true
[dash-shell] allowed command=open.link id=bc63d2e1-e2e6-40bb-a3fc-37bc7244ab1a keys=[url] mutates=false
[dash-shell] allowed command=glance.looked id=4dbc676a-9e10-47b0-ab51-a541d81478ea keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=7112d0b1-6861-479b-9df6-71f5b8d61e91 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=fe898b45-20b1-4c06-947f-da1260c90177 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=e6c2e988-6e91-4bb0-9fb7-b8542be17174 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=2e36e962-0ec1-47bb-8ffa-6c5d41af8e19 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=5cb1858c-dbbb-442b-b207-d439ad2083f3 keys=[agent_id] mutates=true
[dash-shell] allowed command=workspace.exportBrief id=64429fa7-a95c-47e4-aeff-94f4f18c4c0a keys=[agent_id,artifact_id] mutates=false
[dash-shell] allowed command=glance.looked id=5929c104-2622-4daa-a6ef-1a44daf983e7 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=cb5c8532-0ebb-468a-9c8c-545eea517aae keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=9f495f43-0957-49e7-9e89-75e9e3b3ace7 keys=[agent_id] mutates=true
