[dash-shell] not claiming dash:// from capture-cockpit.mjs — only the app's own entry point may be the handler
[dash-shell] DASH_DATA_DIR override in effect: C:\Users\henri\AppData\Local\Temp\gD-2026-08-25\mar793-after\store
[dash-shell] store: C:\Users\henri\AppData\Local\Temp\gD-2026-08-25\mar793-after\store (app_name=Electron)
[dash-shell] secure store: Windows Credential Manager (DPAPI) os_backed=true
[dash-shell] contracts: C:\Users\henri\AppData\Local\Temp\wt-frame-defects-k5\contracts (unpackaged)
[dash-shell] runner: pipe \\.\pipe\orchestratedash-runner-3e283434ba6428eeeaaacb4a pid=43836
[dash-shell] vault self-check: canary=ok, 0/0 fleet reads ok — vault=C:\Users\henri\AppData\Local\Temp\gD-2026-08-25\mar793-after\ud\vault store=C:\Users\henri\AppData\Local\Temp\gD-2026-08-25\mar793-after\store
[dash-shell] allowed command=runner.status id=1341fa0e-fad3-4235-a417-6800875ecfd1 mutates=false
[dash-shell] allowed command=glance.looked id=ebe1b324-59f2-43a1-b109-c949f491f780 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=4a8c1685-0617-4cd8-98a3-df08ea5b7abe keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=b2950da8-bdea-4d65-8524-5245b4156bdf keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=06baafcf-ed23-4927-a5e0-4d5413dab95f keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=d181cb81-aa13-4914-93c5-4332ca5774ec keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=09edb9fd-f883-48c1-9425-a569fffad7b2 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=e5d74bfd-0f18-4302-ab37-30dd5abbf0d3 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=ba397e7d-eb60-4153-b33d-c49d765b5ca3 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=3a46875e-80d6-4078-ad91-2d8b56911377 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=8b937ecc-3dab-44df-95d9-ccf996bf4756 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=42d5ed6f-4207-4244-a0db-92360c639ef0 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=485dcf2a-a259-47e6-bc70-a710215c052b keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=c06ac296-5856-4fc8-b1eb-f82cd6b94c54 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=3ba71044-d525-4242-b3d5-e0cfce7fc8d1 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=eeac7ccd-7416-4900-b949-c697c4c1d0fb keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=887eebc6-5de2-4e0b-b831-3da27e29f6a0 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=53592268-fb27-42d7-9d07-c8f56513b7e6 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=329b9c3b-27f8-403e-a7d9-0d4c86ce9ec6 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=7cfd7424-f5d4-4b2a-b167-11ee5740eb2f keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=e76415b9-687d-4bd7-ac97-2295e1bee4cf keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=69ee4eec-e4ff-49d9-a347-5f3951c2a626 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=4a1d7829-e1a4-475a-bbfc-c014c63d8079 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=45513715-78b5-47ec-a55f-285a092bbd44 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=7df926a1-41eb-4bb9-bade-ced955865d07 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=3c05636d-b328-4f58-820c-63f527a039a5 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=4b1e87b1-ff79-410f-a358-d49588745692 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=136d8034-ca4e-4c48-bcd1-1864b78205f4 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=dfc938ec-5a3a-46e8-a6d7-3463b5eb3fe2 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=4c461a4d-efb3-4d52-8501-50001378104f keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=aca6c284-ab8d-45ae-8f94-16891d744493 keys=[agent_id] mutates=true
[dash-shell] allowed command=glance.looked id=d9a0b2c6-04c3-4785-997a-6f0db22e610b keys=[agent_id] mutates=true
